seed,dataset,feature,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
42,ETTh1,2,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.3717077660619018,0.1903389954106534,0.2640401053655865,0.7126802938999983,0.0919123291969299,0.0,0.3963976543193045,0.2765916660865163
42,ETTh1,3,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.2450072474991683,0.1227437078022448,0.2022482517976058,1.5647110317588553,0.692338228225708,0.0,0.0132742741251812,0.2765916660865163
42,ETTh1,4,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.075002167725148,0.0465038189773087,0.3271005999081973,0.5136923590328155,0.3266897797584533,8.0,0.2423911083204363,0.2765916660865163
42,ETTh1,5,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.5892920250171493,0.308523114619016,0.3147467472302691,1.002662192015707,0.8058424592018127,15.0,0.6185757726983526,0.2765916660865163
42,ETTh1,6,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.0438390034695518,0.1761786259410294,0.1067916504691158,2.335958755625115,0.85532146692276,0.0,0.1047639670675015,0.2765916660865163
42,ETTh1,0,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.3387917623547975,0.1662716324646445,0.2255546061206523,0.7593947109946185,0.1756090521812439,0.0,0.3269631468978525,0.2780913438099618
42,ETTh1,1,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.3308964364988986,0.1801666757704395,0.1519044082819624,1.817699389906274,0.6859068870544434,0.0,0.0547072192553425,0.2780913438099618
42,ETTh1,2,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.3683704763237238,0.188640374174068,0.2310350991845954,0.7312979126024829,0.1516093611717224,0.0,0.3468480030475784,0.2780913438099618
42,ETTh1,3,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.2344474960458216,0.1201765305357556,0.1769672206180852,1.546824366294781,0.7049061059951782,0.0,0.0116150211916902,0.2780913438099618
42,ETTh1,4,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.0693485381761103,0.0464176742578637,0.2862130133488283,0.5487716737216154,0.3450642824172973,8.0,0.2120921345737754,0.2780913438099618
42,ETTh1,5,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.5509168618932611,0.2976859960722791,0.2754033895735326,0.9671002158907764,0.8085088729858398,15.0,0.5412537260589656,0.2780913438099618
42,ETTh1,6,CNN,MTT,300,0.3,0.3807109834068176,0.4815794762377149,0.0429057559354005,0.1756412757380858,0.0934426872503794,2.3259450681805944,0.8610409498214722,0.0,0.0916684065893619,0.2780913438099618
42,ETTh1,0,CNN,MTT,300,0.5,0.3807109834068176,0.4803442458245472,0.3302038443474348,0.1606014887750507,0.1611104347350139,0.7939491744023873,0.2761120796203613,0.0,0.2335451509198105,0.2815244998580694
