dataset,model,seed,epoch,train_loss,val_loss,velocity_raw,velocity_smooth,velocity_norm,param_movement_raw,param_movement_smooth,param_movement_norm,val_improvement_raw,val_improvement_smooth,val_improvement_norm,criteria_met,is_boundary
ETTh1,MLP,7,14,0.36457493,0.67661285,0.00283309,0.00179655,0.0403957,0.12262729,0.1284185,0.28082277,0.00222598,0.00249919,0.05576112,False,False
ETTh1,MLP,7,15,0.36518439,0.67471353,0.0,0.00178258,0.04008163,0.11860036,0.12145216,0.26558892,0.00189931,0.00102649,0.02290263,False,False
ETTh1,MLP,7,16,0.36254822,0.67370639,0.00263617,0.00147346,0.03313092,0.11671486,0.1156894,0.25298706,0.00100714,0.00102649,0.02290263,False,False
ETTh1,MLP,7,17,0.36260639,0.67641829,0.0,0.00090684,0.02039043,0.11203067,0.1117787,0.24443523,0.0,0.00171907,0.03835537,False,False
ETTh1,MLP,7,18,0.36070837,0.67773094,0.00189803,0.00121685,0.02736104,0.10847383,0.10792151,0.23600041,0.0,0.00133921,0.02988001,False,False
ETTh1,MLP,7,19,0.36072434,0.67204203,0.0,0.00068961,0.01550609,0.10307379,0.10386666,0.22713335,0.00568891,0.00123526,0.02756075,False,False
ETTh1,MLP,7,20,0.35917429,0.6731474,0.00155005,0.0008602,0.01934181,0.09931441,0.10045496,0.21967272,0.0,0.00149143,0.0332763,False,False
ETTh1,MLP,7,21,0.35966789,0.67265999,0.0,0.0004806,0.01080633,0.09644061,0.09793287,0.21415746,0.0004874,0.00216329,0.04826644,False,False
ETTh1,MLP,7,22,0.35881495,0.67137915,0.00085295,0.00093157,0.02094641,0.09497218,0.09719554,0.21254508,0.00128084,0.0010255,0.02288064,False,False
ETTh1,MLP,7,23,0.36070103,0.66801988,0.0,0.00070359,0.01582026,0.09586335,0.09588528,0.20967983,0.00335927,0.0010255,0.02288064,False,False
ETTh1,MLP,7,24,0.35844619,0.66804569,0.00225484,0.00109219,0.02455814,0.09938715,0.09522152,0.20822834,0.0,0.00121815,0.02717892,False,False
ETTh1,MLP,7,25,0.35803604,0.66897249,0.00041015,0.00096777,0.02176037,0.0927631,0.09345317,0.20436135,0.0,0.00096198,0.02146338,False,False
ETTh1,MLP,7,26,0.35609301,0.66752185,0.00194304,0.00096777,0.02176037,0.09312181,0.09131896,0.1996943,0.00145064,0.00045462,0.01014324,False,False
ETTh1,MLP,7,27,0.3558622,0.66772574,0.00023081,0.00078115,0.01756422,0.08613042,0.08856439,0.19367067,0.0,0.00045462,0.01014324,False,False
ETTh1,MLP,7,28,0.35641043,0.6669033,0.0,0.00073278,0.01647658,0.08519229,0.08683284,0.18988416,0.00082244,0.00074299,0.01657738,False,False
ETTh1,MLP,7,29,0.35508868,0.66741587,0.00132175,0.00052116,0.01171833,0.08561431,0.08467722,0.18517029,0.0,0.00045286,0.01010415,False,False
ETTh1,MLP,7,30,0.35492039,0.66597399,0.00016829,0.000475,0.01068038,0.08410535,0.08365663,0.18293849,0.00144188,0.00045286,0.01010415,False,False
ETTh1,MLP,7,31,0.35403544,0.66609032,0.00088495,0.00056281,0.01265483,0.08234371,0.08450869,0.18480177,0.0,0.0014702,0.03280257,False,False
ETTh1,MLP,7,32,0.35433064,0.66820894,0.0,0.00041947,0.00943185,0.08102746,0.0839128,0.18349868,0.0,0.0014702,0.03280257,False,False
ETTh1,MLP,7,33,0.35389158,0.66229982,0.00043906,0.00038581,0.00867503,0.08945263,0.08293367,0.18135754,0.00590912,0.00129682,0.02893415,False,False
ETTh1,MLP,7,34,0.35328653,0.66317924,0.00060506,0.0004954,0.01113907,0.08263485,0.08176159,0.17879446,0.0,0.00129682,0.02893415,False,False
ETTh1,MLP,7,35,0.3533714,0.66260427,0.0,0.0004954,0.01113907,0.0792097,0.08061829,0.17629431,0.00057497,0.00189024,0.04217446,False,False
ETTh1,MLP,7,36,0.35193853,0.66302962,0.00143287,0.00068633,0.01543226,0.0764833,0.07975843,0.17441399,0.0,0.00070842,0.01580603,False,False
ETTh1,MLP,7,37,0.35262963,0.66006249,0.0,0.00064615,0.01452881,0.07531096,0.07757142,0.16963149,0.00296713,0.00070842,0.01580603,False,False
ETTh1,MLP,7,38,0.3512359,0.66486192,0.00139373,0.00064615,0.01452881,0.08515334,0.07633319,0.16692375,0.0,0.00127359,0.02841595,False,False
ETTh1,MLP,7,39,0.35083174,0.6659019,0.00040416,0.00054678,0.0122944,0.07169981,0.0758611,0.16589141,0.0,0.00127359,0.02841595,False,False
ETTh1,MLP,7,40,0.3515414,0.66250106,0.0,0.00058967,0.0132587,0.07301853,0.07614506,0.16651235,0.00340084,0.00133821,0.02985768,False,False
ETTh1,MLP,7,41,0.35060539,0.66301196,0.00093601,0.00033636,0.00756316,0.07412288,0.07373914,0.16125115,0.0,0.00133821,0.02985768,False,False
ETTh1,MLP,7,42,0.35039096,0.65972174,0.00021443,0.00025553,0.00574565,0.07673073,0.07317005,0.16000666,0.00329022,0.00163788,0.03654376,False,False
ETTh1,MLP,7,43,0.35026374,0.66382166,0.00012722,0.00057538,0.01293739,0.07312376,0.07344037,0.16059781,0.0,0.00095771,0.02136811,False,False
ETTh1,MLP,7,44,0.35088251,0.66232333,0.0,0.00038817,0.00872814,0.06885434,0.07333952,0.16037726,0.00149834,0.00152366,0.03399543,False,False
ETTh1,MLP,7,45,0.34928329,0.66479972,0.00159922,0.00034529,0.00776384,0.07437016,0.07236664,0.15824978,0.0,0.00111284,0.02482923,False,False
ETTh1,MLP,7,46,0.34929527,0.66196996,0.0,0.00047273,0.01062949,0.07361861,0.07348127,0.16068723,0.00282976,0.00111284,0.02482923,False,False
ETTh1,MLP,7,47,0.35137448,0.66073387,0.0,0.00096695,0.02174202,0.07186632,0.07393102,0.16167075,0.00123609,0.00086127,0.01921631,False,False
ETTh1,MLP,7,48,0.35061003,0.6607629,0.00076445,0.00064711,0.01455028,0.07869691,0.07271025,0.15900119,0.0,0.00116465,0.02598531,False,False
ETTh1,MLP,7,49,0.34813894,0.66052241,0.00247108,0.00072461,0.01629307,0.07110311,0.07142934,0.15620011,0.00024049,0.00100268,0.02237153,False,False
ETTh1,MLP,7,50,0.34843106,0.65900548,0.0,0.00093578,0.02104117,0.0682663,0.07134725,0.15602061,0.00151692,0.00075547,0.0168557,False,False
ETTh1,MLP,7,51,0.34804352,0.65698557,0.00038754,0.00078289,0.01760342,0.06721405,0.06891571,0.15070337,0.00201992,0.00175148,0.03907847,False,False
ETTh1,MLP,7,52,0.34698769,0.66425439,0.00105583,0.0004204,0.00945285,0.07145589,0.06851595,0.14982918,0.0,0.00170338,0.03800531,False,False
ETTh1,MLP,7,53,0.34793251,0.6592743,0.0,0.00049002,0.0110181,0.06653919,0.06799864,0.14869793,0.00498009,0.00206887,0.0461598,False,False
ETTh1,MLP,7,54,0.34727386,0.66136446,0.00065865,0.00051926,0.01167571,0.0691043,0.0670383,0.1465979,0.0,0.00205741,0.04590412,False,False
ETTh1,MLP,7,55,0.3469258,0.65802013,0.00034806,0.00038995,0.00876801,0.06567975,0.06557482,0.14339758,0.00334433,0.00205741,0.04590412,False,False
ETTh1,MLP,7,56,0.34639202,0.65605751,0.00053377,0.00054036,0.01214997,0.06241239,0.0646663,0.14141086,0.00196262,0.00106139,0.02368134,False,False
ETTh1,MLP,7,57,0.34598277,0.65802851,0.00040925,0.00040863,0.00918802,0.06413845,0.06315928,0.13811534,0.0,0.00192914,0.04304235,False,False
ETTh1,MLP,7,58,0.34523073,0.65942582,0.00075204,0.00033901,0.00762276,0.06199663,0.06241236,0.13648198,0.0,0.00126028,0.02811887,False,False
ETTh1,MLP,7,59,0.34594832,0.65508705,0.0,0.00036907,0.00829864,0.0615692,0.06224177,0.13610896,0.00433877,0.00086775,0.01936101,False,False
ETTh1,MLP,7,60,0.34618898,0.65609728,0.0,0.00028722,0.00645823,0.06194512,0.06144444,0.13436536,0.0,0.00086775,0.01936101,False,False
ETTh1,MLP,7,61,0.34550491,0.65786907,0.00068407,0.00061163,0.01375259,0.06155948,0.06243001,0.13652058,0.0,0.00121511,0.02711116,False,False
ETTh1,MLP,7,62,0.34778592,0.65796728,0.0,0.00079891,0.01796359,0.06015177,0.06207953,0.13575416,0.0,0.00034736,0.00775014,False,False
ETTh1,MLP,7,63,0.34541183,0.65623049,0.00237408,0.00079891,0.01796359,0.06692446,0.0616829,0.13488681,0.00173679,0.00122721,0.02738099,False,False
ETTh1,MLP,7,64,0.34447543,0.65902966,0.0009364,0.0007981,0.0179455,0.05981681,0.06153199,0.1345568,0.0,0.00122721,0.02738099,False,False
ETTh1,MLP,7,65,0.34502093,0.65463042,0.0,0.00085527,0.01923084,0.05996195,0.06126472,0.13397236,0.00439924,0.00130847,0.02919417,False,False
ETTh1,MLP,7,66,0.34434089,0.65792207,0.00068004,0.00038045,0.00855452,0.06080493,0.05962391,0.13038427,0.0,0.00096111,0.02144403,False,False
ETTh1,MLP,7,67,0.34405507,0.65751574,0.00028582,0.00019317,0.00434352,0.05881547,0.06039027,0.13206012,0.00040633,0.00184409,0.04114463,False,False
ETTh1,MLP,7,68,0.34435655,0.6607458,0.0,0.00041278,0.00928133,0.05872039,0.06118373,0.13379525,0.0,0.00130194,0.02904839,False,False
ETTh1,MLP,7,69,0.34463656,0.65633093,0.0,0.00027677,0.00622316,0.06364858,0.06132802,0.13411077,0.00441487,0.00130194,0.02904839,False,False
ETTh1,MLP,7,70,0.34353854,0.65464244,0.00109802,0.00027571,0.00619946,0.06392927,0.06176013,0.13505571,0.00168849,0.00165921,0.03701971,False,False
ETTh1,MLP,7,71,0.34410322,0.65544447,0.0,0.00040994,0.00921761,0.06152637,0.06373135,0.13936632,0.0,0.00165921,0.03701971,False,False
ETTh1,MLP,7,72,0.34382266,0.65325178,0.00028055,0.00040994,0.00921761,0.06097604,0.06403078,0.14002111,0.00219269,0.00270964,0.06045641,False,False
ETTh1,MLP,7,73,0.34315152,0.66342427,0.00067114,0.00019034,0.00427979,0.06857649,0.06425416,0.14050959,0.0,0.00237194,0.05292181,False,False
ETTh1,MLP,7,74,0.34325578,0.65375727,0.0,0.00019034,0.00427979,0.06514573,0.06311992,0.13802926,0.009667,0.00272587,0.06081861,False,False
ETTh1,MLP,7,75,0.34331532,0.66000486,0.0,0.00084028,0.01889388,0.06504617,0.0655252,0.14328908,0.0,0.00228733,0.05103411,False,False
ETTh1,MLP,7,76,0.34641276,0.6582352,0.0,0.00070605,0.01587573,0.05585516,0.06334199,0.13851488,0.00176966,0.00281775,0.06286855,False,False
ETTh1,MLP,7,77,0.34288249,0.66149299,0.00353027,0.00070605,0.01587573,0.07300246,0.0630476,0.13787111,0.0,0.00233114,0.05201151,False,False
ETTh1,MLP,7,78,0.34350207,0.65884091,0.0,0.00070605,0.01587573,0.05766043,0.06322019,0.13824854,0.00265208,0.00233114,0.05201151,False,False
ETTh1,MLP,7,79,0.34352621,0.65160696,0.0,0.00088257,0.01984466,0.06367377,0.06506145,0.14227496,0.00723395,0.00247151,0.05514338,False,False
